FK__SoldBoadS__SubPo__108157BA;SoldBoadSubPositions;SubPositionId;SubPositions;SubPositionID
FK__Regions__Diction__4BE214AA;Regions;DictionaryRegionId;DictionaryRegions;DictionaryRegionId
FK__Cities__RegionId__565FA31D;Cities;RegionId;Regions;RegionId
FK__AddressDe__Regio__65A1E6AD;AddressDefinitions;RegionId;Regions;RegionId
FK__BinotelCu__Binot__53D83C2D;BinotelCustomerHistoryOfCalls;BinotelCallDispositionId;BinotelCallDispositions;BinotelCallDispositionId
FK__CityValue__Dicti__519AEE00;CityValues;DictionaryCityId;DictionaryCities;DictionaryCityId
FK__Cities__Dictiona__556B7EE4;Cities;DictionaryCityId;DictionaryCities;DictionaryCityId
FK__OrderMult__Order__147CD127;OrderMultiplePaymantTypes;OrderId;Orders;OrderID
FK__ShouldToC__Order__2D7D891B;ShouldToCloseOrders;OrderId;Orders;OrderID
FK__Unblockin__Order__32423E38;UnblockingOrders;OrderId;Orders;OrderID
FK__HistoryOf__Order__37FB178E;HistoryOfUnblockingOrders;OrderId;Orders;OrderID
FK__OrderAmou__Order__4C171ED4;OrderAmountParts;OrderId;Orders;OrderID
FK_Positions_Orders;Positions;OrderID;Orders;OrderID
FK__BinotelCu__Binot__52E417F4;BinotelCustomerHistoryOfCalls;BinotelCallTypeId;BinotelCallTypes;BinotelCallTypeId
FK__HistoryVe__Histo__554B8353;HistoryVeneerDirectoryDetails;HistoryVeneerDirectoriyId;HistoryVeneerDirectories;HistoryVeneerDirectoriyId
FK__SoldOther__SoldG__27D9BE5E;SoldOtherGoodsSubPositions;SoldGoodsId;SoldOtherGoods;OtherGoodsId
FK__OtherGood__SoldG__59A6241C;OtherGoods;SoldGoodsId;SoldOtherGoods;OtherGoodsId
FK__HistoryOt__Other__632F8E56;HistoryOtherGoods;OtherGoodsId;SoldOtherGoods;OtherGoodsId
FK__AddressDe__CityI__66960AE6;AddressDefinitions;CityId;Cities;CityId
FK__PaymentFo__Commo__5B0F49A1;PaymentForms;CommonPaymentTypeId;CommonPaymentTypes;CommonPaymentTypeId
FK__Orders__PaymentF__5CF79213;Orders;PaymentFormId;PaymentForms;PaymentFormId
FK__OrderMult__Payme__6B45B16A;OrderMultiplePaymantTypes;PaymentFormId;PaymentForms;PaymentFormId
FK__Customers__Custo__15DB09B4;Customers;CustomerSegmentId;CustomerSegments;CustomerSegmentId
FK__CustomerS__Custo__61D155C9;CustomerSegmentItems;CustomerSegmentId;CustomerSegments;CustomerSegmentId
FK__EmailDeta__Custo__1CF21B97;EmailDetails;CustomerId;Customers;CustomerID
FK__CustomerD__Custo__33F57C80;CustomerDeliveryMethods;CustomerId;Customers;CustomerID
FK__BinotelCu__Custo__51EFF3BB;BinotelCustomerHistoryOfCalls;CustomerId;Customers;CustomerID
FK__CustomerB__Custo__56B4A8D8;CustomerBinotelCalls;CustomerId;Customers;CustomerID
FK__CustomerP__Custo__5D0CA0AC;CustomerProductCategoryItems;CustomerId;Customers;CustomerID
FK__CustomerS__Custo__60DD3190;CustomerSegmentItems;CustomerId;Customers;CustomerID
FK_Orders_Customers;Orders;CustomerID;Customers;CustomerID
FK__BinotelSy__Custo__6132374B;BinotelSyncCustomerResponseExceptions;CustomerId;Customers;CustomerID
FK__PhoneDeta__Custo__6C4EE43C;PhoneDetails;CustomerId;Customers;CustomerID
FK__HistoryOt__Histo__67001F3A;HistoryOtherGoodsDetails;HistoryOtherGoodsId;HistoryOtherGoods;HistoryOtherGoodsId
FK__ImportVen__Impor__24DD5622;ImportVeneerPallets;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__SoldOther__Impor__52F9268D;SoldOtherGoods;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__OtherGood__Impor__5C8290C7;OtherGoods;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__Pallets__ImportA__6438C128;Pallets;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__SoldPalle__Impor__652CE561;SoldPallets;ImportAreticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__Boads__ImportArt__6621099A;Boads;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__SoldBoads__Impor__67152DD3;SoldBoads;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__Rolls__ImportArt__6809520C;Rolls;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__SoldRolls__Impor__68FD7645;SoldRolls;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__HistoryOt__Impor__69DC8BE5;HistoryOtherGoodsDetails;ImportArticleDetailId;ImportArticleDetails;ImportArticleDetailId
FK__AddressDe__Addre__69727791;AddressDetails;AddressDefinitionId;AddressDefinitions;AddressDefinitionId
FK__HistoryBo__KindI__07A1F8F6;HistoryBoadDirectoryDetails;KindId;BoadKinds;KindId
FK__BoadDirec__KindI__76776CF4;BoadDirectories;KindId;BoadKinds;KindId
FK__Customers__Addre__6D430875;Customers;AddressDetailId;AddressDetails;AddressDetailId
FK__OrderMult__Curre__1570F560;OrderMultiplePaymantTypes;CurrencyId;Currencies;ID
FK__HistoryBo__Breed__098A4168;HistoryBoadDirectoryDetails;BreedId;BoadBreeds;BreedId
FK__BoadDirec__Breed__785FB566;BoadDirectories;BreedId;BoadBreeds;BreedId
FK__ImportVen__Palle__25D17A5B;ImportVeneerPallets;PalletVeneerDetailId;PalletVeneerDetails;PalletVeneerDetailId
FK__Pallets__PalletV__6BD9E2F0;Pallets;PalletVeneerDetailId;PalletVeneerDetails;PalletVeneerDetailId
FK__SoldPalle__Palle__6CCE0729;SoldPallets;PalletVeneerDetailId;PalletVeneerDetails;PalletVeneerDetailId
FK__HistoryBo__Quali__0A7E65A1;HistoryBoadDirectoryDetails;QualityId;BoadQualities;QualityId
FK__BoadDirec__Quali__7953D99F;BoadDirectories;QualityId;BoadQualities;QualityId
FK__HistoryBo__Thick__0B7289DA;HistoryBoadDirectoryDetails;ThicknessId;BoadThicknesses;ThicknessId
FK__BoadDirec__Thick__7A47FDD8;BoadDirectories;ThicknessId;BoadThicknesses;ThicknessId
FK__HistoryBo__Lengt__0C66AE13;HistoryBoadDirectoryDetails;LengthId;BoadLengths;LengthId
FK__BoadDirec__Lengt__7B3C2211;BoadDirectories;LengthId;BoadLengths;LengthId
FK__CompanySe__Venee__7286E07F;CompanySettings;VeneerGradingSettingId;VeneerGradingSettings;VeneerGradingSettingId
FK__OtherGood__Goods__7148A383;OtherGoods;GoodsAdditionalInformationId;GoodsAdditionalInformations;GoodsAdditionalInformationId
FK__SoldOther__Goods__723CC7BC;SoldOtherGoods;GoodsAdditionalInformationId;GoodsAdditionalInformations;GoodsAdditionalInformationId
FK__HistoryBo__Width__0D5AD24C;HistoryBoadDirectoryDetails;WidthId;BoadWidths;WidthId
FK__BoadDirec__Width__7C30464A;BoadDirectories;WidthId;BoadWidths;WidthId
FK__VeneerDir__Direc__71BDA4CF;VeneerDirectories;DirectoryMarkId;DirectoryMarks;DirectoryMarkId
FK__GoodsDire__Direc__72B1C908;GoodsDirectories;DirectoryMarkId;DirectoryMarks;DirectoryMarkId
FK__RollDirec__Direc__73A5ED41;RollDirectories;DirectoryMarkId;DirectoryMarks;DirectoryMarkId
FK__BoadDirec__Direc__749A117A;BoadDirectories;DirectoryMarkId;DirectoryMarks;DirectoryMarkId
FK__SubPositi__Direc__758E35B3;SubPositions;DirectoryMarkId;DirectoryMarks;DirectoryMarkId
FK__HistoryBo__BoadD__0000D72E;HistoryBoadDirectories;BoadDirectoryId;BoadDirectories;BoadDirectoryId
FK__Boads__BoadDirec__1E855E4E;Boads;BoadDirectoryId;BoadDirectories;BoadDirectoryId
FK__SoldBoads__BoadD__206DA6C0;SoldBoads;BoadDirectoryId;BoadDirectories;BoadDirectoryId
FK__HistoryVe__KindI__2255EF32;HistoryVeneerDirectoryDetails;KindId;VeneerKinds;VeneerKindId
FK__VeneerDir__Venee__74C42EAC;VeneerDirectories;KindId;VeneerKinds;VeneerKindId
FK__CustomerP__Produ__07F6FEB1;CustomerProductCategoryItems;ProductCatogoryId;Articles;ArticleID
FK_LinkAccounting_Articles;LinkAccounting;ArticleID;Articles;ArticleID
FK__HistoryBo__LinkA__04C58C4B;HistoryBoadDirectoryDetails;LinkAccountinId;LinkAccounting;LinkAccountingID
FK_RelationQualitySettings_LinkAccounting;RelationQualitySettings;LinkAccountingID;LinkAccounting;LinkAccountingID
FK_Boads_LinckAccounting;RelationBoads;LinkAccountingId;LinkAccounting;LinkAccountingID
FK__RollDirec__LinkA__387A3A7B;RollDirectories;LinkAccountinId;LinkAccounting;LinkAccountingID
FK__GoodsDire__LinkA__3D09E56E;GoodsDirectories;LinkAccountinId;LinkAccounting;LinkAccountingID
FK__VeneerDir__LinkA__46093FC3;VeneerDirectories;LinkAccountinId;LinkAccounting;LinkAccountingID
FK__HistoryRo__LinkA__48B0A244;HistoryRollDirectoryDetails;LinkAccountinId;LinkAccounting;LinkAccountingID
FK__HistoryGo__LinkA__4A63E08C;HistoryGoodsDirectoryDetails;LinkAccountinId;LinkAccounting;LinkAccountingID
FK__HistoryVe__LinkA__563FA78C;HistoryVeneerDirectoryDetails;LinkAccountinId;LinkAccounting;LinkAccountingID
FK__BoadDirec__LinkA__739B0049;BoadDirectories;LinkAccountinId;LinkAccounting;LinkAccountingID
FK__HistoryBo__Histo__03D16812;HistoryBoadDirectoryDetails;HistoryBoadDirectoryId;HistoryBoadDirectories;HistoryBoadDirectoryId
FK__HistoryBo__Manag__00F4FB67;HistoryBoadDirectories;ManagerId;Managers;ManagerID
FK_Rolls_Managers;Rolls;ManagerID;Managers;ManagerID
FK__HistoryBo__Manag__06ADD4BD;HistoryBoadDirectoryDetails;ManagerCreateId;Managers;ManagerID
FK_SoldBoads_Managers;SoldBoads;ManagerId;Managers;ManagerID
FK__Orders__ManagerI__1269A02C;Orders;ManagerId;Managers;ManagerID
FK__Orders__ManagerI__151102AD;Orders;ManagerIdForLastUpdate;Managers;ManagerID
FK__OrderMult__Manag__16651999;OrderMultiplePaymantTypes;ManagerId;Managers;ManagerID
FK_SoldRolls_Managers;SoldRolls;ManagerID;Managers;ManagerID
FK__BundlePar__Manag__210CC53E;BundleParentPallets;ManagerOfCreateId;Managers;ManagerID
FK__ImportVen__Manag__26C59E94;ImportVeneerPallets;ManagerOfImportId;Managers;ManagerID
FK__ImportVen__Manag__27B9C2CD;ImportVeneerPallets;ManagerOfLastUpdateId;Managers;ManagerID
FK__SortedVen__Manag__2E66C05C;SortedVeneerPallets;ManagerOfCreateId;Managers;ManagerID
FK__SortedVen__Manag__2F5AE495;SortedVeneerPallets;ManagerOfLastUpdateId;Managers;ManagerID
FK__Chronolog__Manag__31783731;ChronologyCostOfArticles;ManagerIdOfUpdate;Managers;ManagerID
FK__Unblockin__Creat__33366271;UnblockingOrders;CreateRequestManagerId;Managers;ManagerID
FK__ImportVen__Manag__341F99B2;ImportVeneerPalletBundles;ManagerOfCreateId;Managers;ManagerID
FK__Unblockin__Respo__342A86AA;UnblockingOrders;ResponsibleOfUnblockingOrderManagerId;Managers;ManagerID
FK__SalaryOfM__Manag__3791033A;SalaryOfManagerOfOrdersPlans;ManagerId;Managers;ManagerID
FK__HistoryOf__Creat__38EF3BC7;HistoryOfUnblockingOrders;CreateRequestManagerId;Managers;ManagerID
FK__HistoryOf__Respo__39E36000;HistoryOfUnblockingOrders;ResponsibleOfUnblockingOrderManagerId;Managers;ManagerID
FK__GoodsDire__Manag__3B219CFC;GoodsDirectories;ManagerCreateId;Managers;ManagerID
FK__RollDirec__Manag__3B56A726;RollDirectories;ManagerCreateId;Managers;ManagerID
FK__IpAddress__Manag__3DB3F0E4;IpAddressManagers;ManagerId;Managers;ManagerID
FK__Pallets__Manager__42D7CD5D;Pallets;ManagerIdOfImport;Managers;ManagerID
FK__Pallets__Manager__43CBF196;Pallets;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryRo__Manag__44E01160;HistoryRollDirectories;ManagerId;Managers;ManagerID
FK__SoldPalle__Manag__46A85E41;SoldPallets;ManagerIdOfImport;Managers;ManagerID
FK__SoldPalle__Manag__479C827A;SoldPallets;ManagerIdOfLastUpdate;Managers;ManagerID
FK__VeneerDir__Manag__47F18835;VeneerDirectories;ManagerCreateId;Managers;ManagerID
FK__HistoryGo__Manag__487B981A;HistoryGoodsDirectoryDetails;ManagerCreateId;Managers;ManagerID
FK__Rolls__ManagerId__4B6D135E;Rolls;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryRo__Manag__4B8D0EEF;HistoryRollDirectoryDetails;ManagerCreateId;Managers;ManagerID
FK__OrderAmou__Manag__4D0B430D;OrderAmountParts;ManagerId;Managers;ManagerID
FK__SoldRolls__Manag__4F3DA442;SoldRolls;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryVe__Manag__526F16A8;HistoryVeneerDirectories;ManagerId;Managers;ManagerID
FK__Boads__ManagerId__530E3526;Boads;ManagerIdOfLastUpdate;Managers;ManagerID
FK__SoldOther__Manag__53ED4AC6;SoldOtherGoods;ManagerCreateId;Managers;ManagerID
FK__SoldBoads__Manag__56DEC60A;SoldBoads;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryVe__Manag__5827EFFE;HistoryVeneerDirectoryDetails;ManagerCreateId;Managers;ManagerID
FK__OtherGood__Manag__5D76B500;OtherGoods;ManagerCreateId;Managers;ManagerID
FK__Chronolog__Manag__5FC911C6;ChronologyCostDetails;ManagerCreateId;Managers;ManagerID
FK__HistoryOt__Manag__6423B28F;HistoryOtherGoods;ManagerId;Managers;ManagerID
FK__HistoryOt__Manag__6AD0B01E;HistoryOtherGoodsDetails;ManagerCreateId;Managers;ManagerID
FK__Customers__Manag__6E372CAE;Customers;ManagerId;Managers;ManagerID
FK__BoadDirec__Manag__758348BB;BoadDirectories;ManagerCreateId;Managers;ManagerID
FK_LoggerBundles_Managers;LoggerBundles;ManagerId;Managers;ManagerID
FK_Boads_Managers;Boads;ManagerId;Managers;ManagerID
FK__Customers__Custo__05A4A1EB;Customers;CustomerStatusId;CustomerStatuses;CustomerStatusId
